Full Name,Normalized Score
Abdallah Benzine,0.0625
Bertrand Luvison,0.0625
Quoc Cuong Pham,0.0625
Catherine Achard,0.0625
Jiefeng Li,0.027777777777777776
Can Wang,0.027777777777777776
Hao Zhu,0.027777777777777776
Yihuan Mao,0.027777777777777776
Hao-Shu Fang,0.027777777777777776
Cewu Lu,0.027777777777777776
George Papandreou,0.02040816326530612
Tyler Zhu,0.02040816326530612
Nori Kanazawa,0.02040816326530612
Alexander Toshev,0.02040816326530612
Jonathan Tompson,0.02040816326530612
Chris Bregler,0.02040816326530612
Kevin Murphy,0.02040816326530612
Mykhaylo Andriluka,0.0625
Leonid Pishchulin,0.0625
Peter Gehler,0.0625
Bernt Schiele,0.0625
Fangda Han,0.1111111111111111
Ricardo Guerrero,0.1111111111111111
Vladimir Pavlovic,0.1111111111111111
Ryan Kiros,0.02040816326530612
Yukun Zhu,0.02040816326530612
Ruslan R Salakhutdinov,0.02040816326530612
Richard Zemel,0.02040816326530612
Raquel Urtasun,0.02040816326530612
Antonio Torralba,0.02040816326530612
Sanja Fidler,0.02040816326530612
Ian Goodfellow,0.015625
Jean Pouget-Abadie,0.015625
Mehdi Mirza,0.015625
Bing Xu,0.015625
David Warde-Farley,0.015625
Sherjil Ozair,0.015625
Aaron Courville,0.015625
Yoshua Bengio,0.015625
Phillip Isola,0.0625
Jun-Yan Zhu,0.0625
Tinghui Zhou,0.0625
Alexei A E- fros,0.0625
Simon Osindero,0.25
Samy Bengio,0.0625
Jocelyn Cloutier,0.0625
Jan Gecsei,0.0625
Chelsea Finn,0.1111111111111111
Pieter Abbeel,0.1111111111111111
Sergey Levine,0.1111111111111111
Andreas Geiger,0.1111111111111111
Philip Lenz,0.1111111111111111
Shunkai Li,0.04
Fei Xue,0.04
Xin Wang,0.04
Zike Yan,0.04
Hongbin Zha,0.04
Guido F Montufar,0.0625
Razvan Pascanu,0.0625
Kyunghyun Cho,0.0625
Name1,0.25
Name2,0.25
John Doe,0.25
Jane Smith,0.25
Yu-Wei Chao,0.0625
Jimei Yang,0.0625
Weifeng Chen,0.0625
Jia Deng,0.0625
Yixin Chen,0.027777777777777776
