Full Name,Normalized Score
Yogesh Balaji,0.1111111111111111
Swami Sankaranarayanan,0.1111111111111111
Rama Chel-lappa,0.1111111111111111
Nitin Bansal,0.1111111111111111
Xiaohan Chen,0.1111111111111111
Zhangyang Wang,0.1111111111111111
Fabio Maria Carlucci,0.04
Antonio D'Innocente,0.04
Silvia Bucci,0.04
Barbara Caputo,0.04
Tatiana Tommasi,0.04
Yinbo Chen,0.04
Xiaolong Wang,0.04
Zhuang Liu,0.04
Huijuan Xu,0.04
Trevor Darrell,0.04
Timnit Gebru,0.02040816326530612
Jamie Morgenstern,0.02040816326530612
Briana Vecchione,0.02040816326530612
Jenni-fer Wortman Vaughan,0.02040816326530612
Hanna Wallach,0.02040816326530612
Hal Daumé III,0.02040816326530612
Kate Crawford,0.02040816326530612
Kaiming He,0.0625
Xiangyu Zhang,0.0625
Shaoqing Ren,0.0625
Jian Sun,0.0625
Kyungjun Lee,0.25
Hernisa Kacorri,0.25
Andrei Barbu,0.015625
David Mayo,0.015625
Julian Alverio,0.015625
William Luo,0.015625
Christopher Wang,0.015625
Dan Gutfreund,0.015625
Josh Tenenbaum,0.015625
Boris Katz,0.015625
Luca Bertinetto,0.0625
João F. Henriques,0.0625
Philip H. S. Torr,0.0625
Andrea Vedaldi,0.0625
Name1,0.1111111111111111
Name2,0.1111111111111111
Name3,0.1111111111111111
Jeong Joon Park,0.04
Peter Florence,0.04
Julian Straub,0.04
Richard Newcombe,0.04
Steven Lovegrove,0.04
Timothy J Purcell,0.0625
Ian Buck,0.0625
William R Mark,0.0625
Pat Han- rahan,0.0625
Samir Akkouche,0.25
Eric Galin,0.25
Matan Atzmon,0.25
Yaron Lipman,0.25
Mark Everingham,0.04
Luc Van Gool,0.04
Christopher KI Williams,0.04
John Winn,0.04
Andrew Zisserman,0.04
Haizhong Zheng,0.04
Ziqi Zhang,0.04
Juncheng Gu,0.04
Honglak Lee,0.04
Atul Prakash,0.04
Yude Wang,0.04
Jie Zhang,0.04
Meina Kan,0.04
Shiguang Shan,0.04
Xilin Chen,0.04
Bolei Zhou,0.04
Aditya Khosla,0.04
Agata Lapedriza,0.04
Aude Oliva,0.04
Antonio Torralba,0.04
Liang-Chieh Chen,0.04
Yukun Zhu,0.04
George Papandreou,0.04
Florian Schroff,0.04
Hartwig Adam,0.04
Tsung-Yi Lin,0.04
Priya Goyal,0.04
Ross Girshick,0.04
Piotr Doll ´ar,0.04
Karen Simonyan,0.1111111111111111
Max Ehrlich,0.25
Larry S Davis,0.25
Jie Hu,0.1111111111111111
Li Shen,0.1111111111111111
Gang Sun,0.1111111111111111
Qibin Hou,0.1111111111111111
Daquan Zhou,0.1111111111111111
Jiashi Feng,0.1111111111111111
Kai Xu,0.027777777777777776
Minghai Qin,0.027777777777777776
Fei Sun,0.027777777777777776
Yuhao Wang,0.027777777777777776
Yen-Kuang Chen,0.027777777777777776
Fengbo Ren,0.027777777777777776
Yilun Chen,0.027777777777777776
Zhicheng Wang,0.027777777777777776
Yuxiang Peng,0.027777777777777776
Zhiqiang Zhang,0.027777777777777776
Gang Yu,0.027777777777777776
Łukasz Kaiser,0.25
Samy Bengio,0.25
Dennis Park,0.25
Deva Ramanan,0.25
Iain E Richardson,1.0
Author 1,0.25
Author 2,0.25
Dong-Hyun Lee,1.0
Fan Ma,0.02040816326530612
Linchao Zhu,0.02040816326530612
Yi Yang,0.02040816326530612
Shengxin Zha,0.02040816326530612
Gourab Kundu,0.02040816326530612
Matt Feiszli,0.02040816326530612
Zheng Shou,0.02040816326530612
Javier Sánchez Pérez,0.1111111111111111
Enric Meinhardt-Llopis,0.1111111111111111
Gabriele Facciolo,0.1111111111111111
David Berthelot,0.027777777777777776
Nicholas Carlini,0.027777777777777776
Ian Goodfellow,0.027777777777777776
Nicolas Papernot,0.027777777777777776
Avital Oliver,0.027777777777777776
Colin A Raffel,0.027777777777777776
Abhijit Bendale,0.25
Terrance E. Boult,0.25
Diederik P. Kingma,0.25
Max Welling,0.25
Dian Chen,0.0625
Brady Zhou,0.0625
Vladlen Koltun,0.0625
Philipp Kr¨ahenb ¨uhl,0.0625
Javier Garcıa,0.25
Fernando Fernández,0.25
Shang-Fu Chen,0.0625
Yi-Chen Chen,0.0625
Chih-Kuan Yeh,0.0625
Yu- Chiang Wang,0.0625
Jack Lanchantin,0.0625
Tianlu Wang,0.0625
Vicente Ordonez,0.0625
Yanjun Qi,0.0625
Yifan Zhao,0.0625
Jia Li,0.0625
Yu Zhang,0.0625
Yonghong Tian,0.0625
Nicolas Carion,0.027777777777777776
Francisco Massa,0.027777777777777776
Gabriel Synnaeve,0.027777777777777776
Nicolas Usunier,0.027777777777777776
Alexander Kirillov,0.027777777777777776
Sergey Zagoruyko,0.027777777777777776
Tianshui Chen,0.04
Liang Lin,0.04
Xiaolu Hui,0.04
Riquan Chen,0.04
Hefeng Wu,0.04
Vadim Kantorov,0.0625
Maxime Oquab,0.0625
Minsu Cho,0.0625
Ivan Laptev,0.0625
Eu Wern Teh,0.25
Yang Wang,0.25
Hyun Oh Song,0.027777777777777776
Stefanie Jegelka,0.027777777777777776
Julien Mairal,0.027777777777777776
Zaid Harchaoui,0.027777777777777776
Ramazan Gokberk Cinbis,0.1111111111111111
Jakob Verbeek,0.1111111111111111
Cordelia Schmid,0.1111111111111111
Michael Maire,0.015625
Serge Belongie,0.015625
James Hays,0.015625
Pietro Perona,0.015625
C Lawrence Zitnick,0.015625
Javier Romero,0.1111111111111111
Dimitrios Tzionas,0.1111111111111111
Michael J Black,0.1111111111111111
Samarth Brahmbhatt,0.0625
Cusuh Ham,0.0625
Charles C. Kemp,0.0625
Chengcheng Tang,0.04
Christopher D. Twigg,0.04
Yujun Cai,0.0625
Liuhao Ge,0.0625
Jianfei Cai,0.0625
Junsong Yuan,0.0625
Yi-Hsin Chen,0.027777777777777776
Wei-Yu Chen,0.027777777777777776
Yu-Ting Chen,0.027777777777777776
Bo-Cheng Tsai,0.027777777777777776
Yu-Chiang Frank Wang,0.027777777777777776
Min Sun,0.027777777777777776
Yaroslav Ganin,0.015625
Evgeniya Ustinova,0.015625
Hana Ajakan,0.015625
Pascal Germain,0.015625
Hugo Larochelle,0.015625
François Laviolette,0.015625
Mario Marchand,0.015625
Victor Lempitsky,0.015625
G Ajay Kumar,0.027777777777777776
Jin Hee Lee,0.027777777777777776
Jongrak Hwang,0.027777777777777776
Jaehyeong Park,0.027777777777777776
Sung Hoon Y oun,0.027777777777777776
Soon Kwon,0.027777777777777776
Duo Peng,0.04
Yinjie Lei,0.04
Lingqiao Liu,0.04
Pingping Zhang,0.04
Jun Liua,0.04
Jens Behley,0.02040816326530612
Martin Garbade,0.02040816326530612
Andres Milioto,0.02040816326530612
Jan Quen-zel,0.02040816326530612
Sven Behnke,0.02040816326530612
Cyrill Stachniss,0.02040816326530612
Jurgen Gall,0.02040816326530612
Yair Movshovitz-Attias,0.04
Alexander Toshev,0.04
Thomas K. Leung,0.04
Sergey Ioffe,0.04
Saurabh Singh,0.04
Scott E. Reed,0.027777777777777776
Dragomir Anguelov,0.027777777777777776
Christian Szegedy,0.027777777777777776
Dumitru Erhan,0.027777777777777776
Andrew Rabinovich,0.027777777777777776
Relja Arandjelovic,0.04
Petr Gronát,0.04
Akihiko Torii,0.04
Tomás Pajdla,0.04
Josef Sivic,0.04
Biagio Brattoli,0.1111111111111111
Karsten Roth,0.1111111111111111
Björn Ommer,0.1111111111111111
Gal Chechik,0.0625
Varun Sharma,0.0625
Uri Shalit,0.0625
Silvan Heller,0.1111111111111111
Luca Rossetto,0.1111111111111111
Heiko Schuldt,0.1111111111111111
Shupeng Su,0.0625
Chao Zhang 0001,0.0625
Kai Han 0002,0.0625
Yonghong Tian 0001,0.0625
Stefan Hinterstoisser,0.02040816326530612
Stefan Holzer,0.02040816326530612
Cedric Cagniart,0.02040816326530612
Slobodan Ilic,0.02040816326530612
Kurt Konolige,0.02040816326530612
Nassir Navab,0.02040816326530612
Vincent Lepetit,0.02040816326530612
Berk Çalli,0.027777777777777776
Aaron Walsman,0.027777777777777776
