Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent,Country
1,University of Montreal,0.0,178.37715120128908,0.0,269.86545815295807,63.31093073593075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
2,DTU,0.0,18.20595238095238,0.0,15.616666666666662,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Denmark
3,University of Maryland - College Park,0.0,27.396439671439666,0.0,70.71374269005852,27.096918767507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
4,Weizmann Institute of Science,0.0,42.12987711213518,0.0,101.55357142857144,0.1555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
5,Princeton University,0.0,132.8787885594489,0.0,94.01814574314578,7.209174159174158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
6,University of Western Australia,0.0,2.283333333333333,0.0,21.49126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
7,Johns Hopkins University,0.0,43.38753988551942,0.0,62.478643578643606,31.534914573730365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
8,Trinity College Dublin,0.0,1.5666666666666669,0.0,3.4166666666666665,2.155988455988456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Ireland
9,University of Magdeburg,0.0,2.651190476190476,0.0,9.392857142857142,0.9575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
10,Univ. of California - Irvine,0.0,19.35436507936508,0.0,21.53059163059163,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
11,University of Birmingham,0.0,3.148412698412698,0.0,28.169573890162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
12,University of Göttingen,0.0,1.902380952380952,0.0,3.128968253968254,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
13,EPFL,0.0,105.00282524240616,0.0,162.31444988184109,12.466774891774891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Switzerland
14,Univ. of California - Berkeley,0.0,378.85150913040434,0.0,451.00624572216657,27.47539682539682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
